Valor;AH Ultimo;;;CD Brujula;CD Objetivo;CD Potencial;SF Objetivo;SF Potencial;SF Valoracion;;L = D + G + I;M = E + J;;O = L / M
ABERTIS;15,035;;;2,792;16,055;6,78417026937146;0;-100;0;;-93,2158297306285;2,792;;-33,3867584995088;
ACCIONA;74,03;;;2,75;74,342;0,421450763204103;0;-100;0;;-99,5785492367959;2,75;;-36,2103815406531;
ACS;30,195;;;2,105;34,266;13,4823646299056;0;-100;0;;-86,5176353700944;2,105;;-41,1010144275983;
AMADEUS;39,39;;;2,667;39,583;0,489972074130484;0;-100;0;;-99,5100279258695;2,667;;-37,3115965226357;
ARCELORMIT;7,864;;;2;12,436;58,1383519837233;0;-100;0;;-41,8616480162767;2;;-20,9308240081384;
B. SABADEL;2,104;;;3,042;2,266;7,69961977186311;0;-100;0;;-92,3003802281369;3,042;;-30,3420053346933;
B. POPULAR;4,223;;;3,286;4,256;0,781434998816016;0;-100;0;;-99,218565001184;3,286;;-30,1943289717541;
Bankia;1,214;;;2,957;1,304;7,41350906095553;0;-100;0;;-92,5864909390445;2,957;;-31,310953986826;
BANKINTER;7,037;;;3,545;6,679;-5,08739519681682;0;-100;0;;-105,087395196817;3,545;;-29,643835034363;
BBVA;9,297;;;2,686;9,367;0,752931053027861;0;-100;0;;-99,2470689469721;2,686;;-36,9497650584409;
BME;38,58;;;3,111;37,735;-2,19025401762571;0;-100;0;;-102,190254017626;3,111;;-32,8480405071121;
CAIXABANK;4,189;;;2,583;4,549;8,59393650035809;0;-100;0;;-91,4060634996419;2,583;;-35,3875584590174;
DIA;6,627;;;2,345;7,328;10,5779387354761;0;-100;0;;-89,4220612645239;2,345;;-38,1330751661083;
ENAGAS;25,76;;;2,56;27,766;7,78726708074533;0;-100;0;;-92,2127329192547;2,56;;-36,0205987965839;
FCC;9,063;;;2,944;11,26;24,2414211629703;0;-100;0;;-75,7585788370297;2,944;;-25,7332129201867;
FERROVIAL;21,385;;;2,273;21,369;-0,0748187982230619;0;-100;0;;-100,074818798223;2,273;;-44,0276369547836;
GAS NATURAL;20,55;;;2,586;22,985;11,8491484184915;0;-100;0;;-88,1508515815085;2,586;;-34,087722962687;
GRIFOLS;38,705;;;2,577;39,777;2,76966800155019;0;-100;0;;-97,2303319984498;2,577;;-37,7300473412688;
IAG;7,966;;;1,692;8,766;10,0426813959327;0;-100;0;;-89,9573186040673;1,692;;-53,1662639503944;
IBERDROLA;6,389;;;2,531;6,313;-1,18954452966036;0;-100;0;;-101,18954452966;2,531;;-39,9800650057923;
INDITEX;30,7;;;3,029;29,721;-3,18892508143322;0;-100;0;;-103,188925081433;3,029;;-34,0669940843292;
INDRA;11,19;;;3,16;10,505;-6,12153708668453;0;-100;0;;-106,121537086685;3,16;;-33,5827649008495;
Jazztel;13;;;3,111;12,662;-2,59999999999999;0;-100;0;;-102,6;3,111;;-32,9797492767599;
MAPFRE;3,023;;;2,882;3,402;12,5372146873966;0;-100;0;;-87,4627853126034;2,882;;-30,3479477142968;
MEDIASET;12,815;;;2,968;12,332;-3,76902067889191;0;-100;0;;-103,769020678892;2,968;;-34,9626080454488;
OHL;17,925;;;3,5;18,621;3,88284518828451;0;-100;0;;-96,1171548117155;3,5;;-27,4620442319187;
REE;72,86;;;2,68;75,523;3,65495470765852;0;-100;0;;-96,3450452923415;2,68;;-35,9496437657991;
REPSOL;15,915;;;3;18,056;13,4527175620484;0;-100;0;;-86,5472824379516;3;;-28,8490941459839;
SACYR;3,269;;;2;4,485;37,1979198531661;0;-100;0;;-62,8020801468339;2;;-31,4010400734169;
SANTANDER;6,551;;;2,941;6,634;1,26698214013128;0;-100;0;;-98,7330178598687;2,941;;-33,5712403467762;
TECNICAS R;43,96;;;2,348;47,384;7,78889899909008;0;-100;0;;-92,2111010009099;2,348;;-39,2721895233858;
TELEFONICA;13,805;;;2,5;13,583;-1,60811300253531;0;-100;0;;-101,608113002535;2,5;;-40,6432452010141;
ACERINOX;11,265;;;1,952;15,473;37,3546382600976;0;-100;0;;-62,6453617399024;1,952;;-32,092910727409;
